"subject" "activity" "tbodyaccmeanx" "tbodyaccmeany" "tbodyaccmeanz" "tbodyaccstdx" "tbodyaccstdy" "tbodyaccstdz" "tgravityaccmeanx" "tgravityaccmeany" "tgravityaccmeanz" "tgravityaccstdx" "tgravityaccstdy" "tgravityaccstdz" "tbodyaccjerkmeanx" "tbodyaccjerkmeany" "tbodyaccjerkmeanz" "tbodyaccjerkstdx" "tbodyaccjerkstdy" "tbodyaccjerkstdz" "tbodygyromeanx" "tbodygyromeany" "tbodygyromeanz" "tbodygyrostdx" "tbodygyrostdy" "tbodygyrostdz" "tbodygyrojerkmeanx" "tbodygyrojerkmeany" "tbodygyrojerkmeanz" "tbodygyrojerkstdx" "tbodygyrojerkstdy" "tbodygyrojerkstdz" "tbodyaccmagmean" "tbodyaccmagstd" "tgravityaccmagmean" "tgravityaccmagstd" "tbodyaccjerkmagmean" "tbodyaccjerkmagstd" "tbodygyromagmean" "tbodygyromagstd" "tbodygyrojerkmagmean" "tbodygyrojerkmagstd" "fbodyaccmeanx" "fbodyaccmeany" "fbodyaccmeanz" "fbodyaccstdx" "fbodyaccstdy" "fbodyaccstdz" "fbodyaccjerkmeanx" "fbodyaccjerkmeany" "fbodyaccjerkmeanz" "fbodyaccjerkstdx" "fbodyaccjerkstdy" "fbodyaccjerkstdz" "fbodygyromeanx" "fbodygyromeany" "fbodygyromeanz" "fbodygyrostdx" "fbodygyrostdy" "fbodygyrostdz" "fbodyaccmagmean" "fbodyaccmagstd" "fbodybodyaccjerkmagmean" "fbodybodyaccjerkmagstd" "fbodybodygyromagmean" "fbodybodygyromagstd" "fbodybodygyrojerkmagmean" "fbodybodygyrojerkmagstd"
20 "LAYING" 0.267941329160256 -0.0184085344480769 -0.107867964897436 -0.954597738717949 -0.942095787371795 -0.953912426025641 -0.402536894365385 0.474270326602564 0.540066448807692 -0.934907877564103 -0.971220389294872 -0.967623183461538 0.0844366652628205 0.0109482460310449 -0.00625472939565385 -0.973943089102564 -0.962327786602564 -0.974498834166667 -0.0118944204615385 -0.112379934599359 0.137269438948718 -0.967052623269231 -0.948460990512821 -0.960937850833333 -0.10166725649359 -0.0355112750923077 -0.0661371016538461 -0.970490565384615 -0.971122349358974 -0.98116952474359 -0.94956938724359 -0.936181290179487 -0.94956938724359 -0.936181290179487 -0.972662640576923 -0.965700020705128 -0.926732112628205 -0.931003504102564 -0.975937504358974 -0.9675767 -0.958666272051282 -0.94950377974359 -0.960702584615385 -0.953212436730769 -0.942028827435897 -0.953286303141026 -0.973790328333333 -0.963361556602564 -0.971645014935897 -0.976594256282051 -0.963882799615385 -0.97594393224359 -0.960572610641026 -0.954553742307692 -0.959874236794872 -0.969359740576923 -0.945978423012821 -0.964935561282051 -0.944459815576923 -0.941254921408333 -0.966096372179487 -0.964265474935897 -0.945259309935897 -0.933991902948718 -0.969319251987179 -0.967436632179487
24 "LAYING" 0.266935349724409 -0.0181789188645144 -0.10824433252126 -0.968907317217848 -0.965866807742782 -0.969437090761155 -0.379141256448819 0.643517767244094 0.48827063503937 -0.953117043543307 -0.982543049291339 -0.975950120422572 0.0818032537199475 0.0106141441450656 -0.00257978078080577 -0.982841871994751 -0.976352497322835 -0.982038498136483 -0.0185709621351391 -0.0921059951686089 0.116560529932021 -0.977655302887139 -0.968315295170604 -0.972221287060367 -0.101371374362205 -0.0390385930286089 -0.0623717494853018 -0.980762312099738 -0.980742266745407 -0.986997113543307 -0.966496111207349 -0.95538436555643 -0.966496111207349 -0.95538436555643 -0.982409279370079 -0.978258709606299 -0.953093022309711 -0.954333567559055 -0.983881377112861 -0.978408234540682 -0.972283712755906 -0.968334479895013 -0.973797858792651 -0.967778962125984 -0.966368798081365 -0.968887659115486 -0.982852431049869 -0.976473233018373 -0.979757880314961 -0.984458000708661 -0.977995329658793 -0.982900845170604 -0.972989192178478 -0.970856850708661 -0.971730168083989 -0.979287284986877 -0.967304791417323 -0.974963329028871 -0.962732437490814 -0.958004223532808 -0.978098162755906 -0.977403138845144 -0.962954422335958 -0.956852655485564 -0.979241465249344 -0.978662624593176
27 "LAYING" 0.278375397379195 -0.0175602012902685 -0.109987695516779 -0.972189178110738 -0.967384398771812 -0.972720908791946 -0.417646041493289 0.702715773087248 0.624533383036913 -0.960409655302013 -0.984973046308725 -0.978803960503356 0.0788398706218121 0.0120107511789933 -0.00040456442342953 -0.98472143352349 -0.976180300167785 -0.983186652416107 -0.0194174822912081 -0.091839201568792 0.128510019288591 -0.979876884765101 -0.973960114563758 -0.971340436644295 -0.102474230600671 -0.0380460203193289 -0.0648277422919463 -0.982042584026846 -0.986342804395973 -0.988184852651007 -0.969958044788591 -0.961682098120805 -0.969958044788591 -0.961682098120805 -0.983022274228188 -0.981099317986577 -0.955940915067114 -0.959025849966443 -0.987221162181208 -0.984656013322148 -0.975724278825503 -0.969521560671141 -0.976088939765101 -0.971003439004362 -0.967774102033557 -0.972404789731544 -0.984906287348993 -0.976636332885906 -0.980714243489933 -0.985919461879195 -0.977418314697987 -0.984254399228188 -0.975260506946309 -0.976746661812081 -0.97077960033557 -0.981477217718121 -0.972716211577181 -0.974194182751678 -0.967854274261745 -0.963947663724832 -0.980701411677852 -0.980474974328859 -0.968349383322148 -0.960227799463087 -0.985353022416107 -0.984572768053691
28 "LAYING" 0.273429863762042 -0.00869194274460733 -0.11328995948534 -0.961653055078534 -0.943068674688482 -0.942601193471204 -0.307804180269634 0.562279620874346 0.503311215691623 -0.943555777329843 -0.955895099109948 -0.940688409348168 0.0813156435002618 0.00785872864594241 -0.00335104731101571 -0.981345504659686 -0.972773918115183 -0.980024389293194 -0.020728281026911 -0.0892297381015707 0.114473615670157 -0.965680444712042 -0.96307907973822 -0.963005389790576 -0.10325714401466 -0.0380070791216466 -0.0620745161643979 -0.974521566230366 -0.981902243874346 -0.983519125968586 -0.931281859272251 -0.933759719793194 -0.931281859272251 -0.933759719793194 -0.980224382643979 -0.975561079109948 -0.938967628350785 -0.938977627429319 -0.983047209712042 -0.976899311675393 -0.967845912617801 -0.95396100882199 -0.957200421178011 -0.959712997510471 -0.941419277259162 -0.939362911222513 -0.981014176413613 -0.973034920497382 -0.977227149764398 -0.983524886465969 -0.974542772565445 -0.981460382094241 -0.960491764735602 -0.96824224382199 -0.962856724842932 -0.96761873434555 -0.960921526151832 -0.966513851308901 -0.949549493280105 -0.936246279756545 -0.975650582251309 -0.974526233219895 -0.953948738403141 -0.940335083151832 -0.978022311387435 -0.976889143795811
29 "LAYING" 0.246063491048837 -0.0311335490927326 -0.0949899408171512 -0.941442385011628 -0.901622267415698 -0.905502630181395 -0.373513829767442 0.671771944261628 0.522091134218023 -0.910902477241279 -0.92892814294186 -0.902019139828488 0.0872527772215116 0.0125536904702616 -0.0108389475171177 -0.975000845901163 -0.961274652238372 -0.973019121511628 -0.0106250188140698 -0.0991332159636628 0.138996293848837 -0.950691525875 -0.953896871947674 -0.95005971002907 -0.101790243029651 -0.0387934039809012 -0.0644779916857558 -0.967822592383721 -0.976187395988372 -0.980896239738372 -0.890920018703488 -0.87365525647093 -0.890920018703488 -0.87365525647093 -0.97263112372093 -0.964059689215116 -0.910395179825581 -0.914801507761628 -0.978591386133721 -0.969811010872093 -0.952148431453488 -0.921286660706395 -0.931154944418605 -0.93804118602907 -0.898783403334302 -0.90011323272064 -0.974657571395349 -0.961494494127907 -0.969133954360465 -0.977784768139535 -0.963965522063953 -0.975612131337209 -0.94331374148343 -0.959500968604651 -0.952143351017442 -0.953547401482558 -0.951684946860465 -0.954134210668605 -0.90839085193314 -0.877428636377326 -0.964341437180233 -0.962887477616279 -0.936792025813953 -0.916312268110465 -0.971531433197674 -0.969704326802326
30 "LAYING" 0.27858963362141 -0.0170980702429765 -0.109808712872063 -0.96360740921671 -0.941318348877285 -0.948938531853786 -0.394946276929504 0.614197077877285 0.657582216524804 -0.952583530704961 -0.961776024245692 -0.95646331845953 0.0788520985968668 0.0132309088721149 -0.00616057252639426 -0.981052479530026 -0.972891877258486 -0.981322453263708 -0.0162490232700742 -0.0872352445689295 0.128087436545692 -0.966853481853786 -0.964180866005222 -0.962379307859008 -0.100637647474151 -0.0382304593363708 -0.0648341087412533 -0.978257881775457 -0.981873301148825 -0.986154532454308 -0.944850181289817 -0.935400702096606 -0.944850181289817 -0.935400702096606 -0.980618939556136 -0.976212640574412 -0.939657728381201 -0.941280223289817 -0.984240544281984 -0.978794085326371 -0.969891904882507 -0.952208026762402 -0.962261299295039 -0.961557879869452 -0.939427628078329 -0.945744528511749 -0.980664440313316 -0.972736284986945 -0.978429702010444 -0.983304940391645 -0.975142408250653 -0.9828738345953 -0.964264250130548 -0.969100006083551 -0.965441360652742 -0.967961642819843 -0.962029904778068 -0.964967567728459 -0.951707646083551 -0.937087993788512 -0.976480398720627 -0.974852906396867 -0.957331560078329 -0.941624135744125 -0.980206060626632 -0.978226978146214
12 "SITTING" 0.273054278328358 -0.0115303382910448 -0.103858478626866 -0.981066785 -0.925961407343284 -0.934226438880597 0.891489560895522 0.102357194506751 0.149284408936567 -0.97798770358209 -0.950552113231343 -0.944211830074627 0.0755125121761194 0.00111194617972388 -0.00534834572904478 -0.980944850746269 -0.967934685522388 -0.979933987238806 -0.0407049081231343 -0.0733269050246269 0.0933807262761194 -0.978164090746269 -0.965793634402985 -0.956978155820896 -0.0968358164850746 -0.0429702548552239 -0.0532484909108955 -0.97955711858209 -0.984922561343284 -0.981125880895522 -0.950598674626866 -0.930878967238806 -0.950598674626866 -0.930878967238806 -0.978688439776119 -0.973624925671642 -0.936466315522388 -0.948339950522388 -0.985438248432836 -0.980881302910448 -0.979790685223881 -0.938656920447761 -0.950169901059701 -0.981805818283582 -0.924418820171642 -0.930515450373134 -0.981366937761194 -0.967596190074627 -0.976914646268657 -0.982292895895522 -0.970857916567164 -0.981595357238806 -0.971880359626866 -0.970399677462687 -0.958546514253731 -0.980237992985075 -0.96364415119403 -0.960493745746269 -0.943793058156716 -0.934742509701493 -0.973989773283582 -0.972191260149254 -0.961338907313433 -0.94907631238806 -0.98172197880597 -0.980870844925373
13 "SITTING" 0.271183951948012 -0.0151925519055963 -0.10191557636422 -0.98333951382263 -0.929555866721713 -0.936784956036697 0.90327208617737 0.0611783731575107 0.132077070633639 -0.981190906880734 -0.957993255779817 -0.946678537972477 0.0764397645067278 0.00637839736855352 -0.0043506685630055 -0.983913817339449 -0.972348422813456 -0.981749267003058 -0.0400575924666667 -0.0692054420318043 0.0696407465961162 -0.980448019480122 -0.967109752966361 -0.953479754036697 -0.0940170640733945 -0.0405684494978593 -0.0480036821763303 -0.984108551529052 -0.986008435412844 -0.982791089021407 -0.95208570529052 -0.938837367706422 -0.95208570529052 -0.938837367706422 -0.981275062599388 -0.977950930030581 -0.945627712905199 -0.95153650088685 -0.986943048409786 -0.98423294440367 -0.982902949663609 -0.945538647706422 -0.956138990275229 -0.983726104770642 -0.926368508366972 -0.931893205538838 -0.984143867522936 -0.972477537492355 -0.978817658593272 -0.985148060733945 -0.974307826299694 -0.983352687308868 -0.976095521376147 -0.97309908795107 -0.958854335137615 -0.981881183455657 -0.964398398501529 -0.956195288134557 -0.952140005749236 -0.94146504498471 -0.977371701192661 -0.977654231865443 -0.964681053333333 -0.951907577003058 -0.984727601804281 -0.98441164
17 "SITTING" 0.272156601392188 -0.0121659384101875 -0.105060105335938 -0.984455355125 -0.9388310196875 -0.9406147375625 0.90962192271875 0.0695394105740312 0.120351412560375 -0.9820641283125 -0.96487382621875 -0.95533558565625 0.07576008692875 0.0095291019049 -0.00393701541896875 -0.98537692034375 -0.97276408190625 -0.98158903053125 -0.03470114286625 -0.0719889983229063 0.0701935330964375 -0.9775239633125 -0.96620752915625 -0.95475418196875 -0.09753351418125 -0.040339392434 -0.0517904860328125 -0.98244599921875 -0.98563060796875 -0.98251161815625 -0.95732675428125 -0.943514943 -0.95732675428125 -0.943514943 -0.9819526719375 -0.9788015061875 -0.9498621854375 -0.94801069480625 -0.98654269590625 -0.98310566925 -0.98402680471875 -0.95068007434375 -0.9574625636875 -0.9847970400625 -0.93674332525 -0.93638917396875 -0.98565602721875 -0.9731914975 -0.97895635359375 -0.9864107311875 -0.97428005728125 -0.98283344553125 -0.97322727728125 -0.97161590196875 -0.9578623270625 -0.97912582096875 -0.9636914294375 -0.95812014621875 -0.95569021009375 -0.94607522959375 -0.9785537535625 -0.97806017140625 -0.9620584865 -0.9485517649 -0.9840152205625 -0.98294491140625
18 "SITTING" 0.276836558333333 -0.0140315529633333 -0.1065815685 -0.995094297 -0.975848128666667 -0.971621066 0.949182898666667 0.0520361273 0.0523971281333333 -0.997266135 -0.986900617666667 -0.976522339666667 0.0759020174 0.0111976612933333 0.0040885140646 -0.991434568333333 -0.984317261333333 -0.988965616333333 -0.0363004885333333 -0.0692772772633333 0.0668872156333333 -0.989732591 -0.983661873 -0.97404765 -0.0956029170333333 -0.0411569487 -0.0461740239166667 -0.992861859 -0.992439999 -0.991436941333333 -0.982437992333333 -0.980570546333333 -0.982437992333333 -0.980570546333333 -0.989583606333333 -0.990063851666667 -0.97460486 -0.974927311333333 -0.993216738666667 -0.993384096 -0.993759187 -0.978127586333333 -0.978130257 -0.995735101 -0.975309455666667 -0.969574041666667 -0.991818829 -0.983902855333333 -0.986980126333333 -0.991756669 -0.986029666666667 -0.989565356666667 -0.988038586666667 -0.986387918 -0.975467077666667 -0.990315615666667 -0.982209943333333 -0.975961712666667 -0.982581228333333 -0.981692239333333 -0.989239683333333 -0.990001483 -0.981619019666667 -0.974993845 -0.993366684333333 -0.993541000333333
